,diseaseClasses_MSH,diseaseName,diseaseType,CUI,geneNcbiID,score,symbolOfGene,pref_name,source_id,source
1189,"[Urogenital Diseases (C12), Neoplasms (C04)]",Cervical Neoplasm,disease,C0007873,207.0,0.8500000000000001,AKT1,Neoplasm of uterine cervix,40201,MedGen
1192,"[Neoplasms (C04), Urogenital Diseases (C12)]",Malignant neoplasm of prostate,disease,C0376358,207.0,0.8500000000000001,AKT1,Malignant tumor of prostate,138169,MedGen
1198,[Neoplasms (C04)],Adenocarcinoma,disease,C0001418,207.0,0.85,AKT1,Adenocarcinoma,122,MedGen
1201,[Neoplasms (C04)],Squamous cell carcinoma,disease,C0007137,207.0,0.8,AKT1,Squamous cell carcinoma,2874,MedGen
1212,"[Neoplasms (C04), Hemic and Lymphatic Diseases (C15), Pathological Conditions, Signs and Symptoms (C23)]",Chronic myeloid leukemia,disease,C0279543,207.0,0.8,AKT1,"Chronic myelogenous leukemia, BCR-ABL1 positive",75993,MedGen
1217,[Neoplasms (C04)],"SQUAMOUS CELL CARCINOMA, HEAD AND NECK",disease,C1168401,207.0,0.8,AKT1,Squamous cell carcinoma of the head and neck,257911,MedGen
1224,[Nervous System Diseases (C10)],Epilepsies,disease,C0014544,207.0,0.8,AKT1,Epilepsy,4506,MedGen
1228,"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]","Neoplasm, Skin",disease,C0037286,207.0,0.8,AKT1,Neoplasm of the skin,19993,MedGen
1234,"[Pathological Conditions, Signs and Symptoms (C23)]",Hyperplasias,phenotype,C0020507,207.0,0.75,AKT1,Hyperplasia,43784,MedGen
1242,"[Neoplasms (C04), Digestive System Diseases (C06)]",Gastric adenocarcinoma,disease,C0278701,207.0,0.75,AKT1,Gastric adenocarcinoma,82961,MedGen
1243,[Mental Disorders (F03)],Depressive neurosis,disease,C0011581,207.0,0.75,AKT1,Depression,4229,MedGen
1248,"[Neoplasms (C04), Respiratory Tract Diseases (C08)]",small cell carcinoma of lung,disease,C0149925,207.0,0.75,AKT1,Small cell lung carcinoma,57450,MedGen
1261,"[Neoplasms (C04), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Cowdens Disease,disease,C0018553,207.0,0.75,AKT1,Cowden syndrome,5420,MedGen
1267,"[Pathological Conditions, Signs and Symptoms (C23)]",Fibroses,phenotype,C0016059,207.0,0.75,AKT1,Fibrosis,5179,MedGen
1271,"[Psychological Phenomena (F02), Pathological Conditions, Signs and Symptoms (C23)]",Pain,phenotype,C0030193,207.0,0.75,AKT1,Pain,45282,MedGen
1281,"[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",Malignant melanoma of skin,disease,C0151779,207.0,0.7,AKT1,Malignant melanoma of skin,57486,MedGen
1289,"[Neoplasms (C04), Respiratory Tract Diseases (C08)]",squamous cell carcinoma of lung (diagnosis),disease,C0149782,207.0,0.7,AKT1,Squamous cell lung carcinoma,56202,MedGen
1293,"[Neoplasms (C04), Urogenital Diseases (C12)]",adenocarcinoma of prostate gland,disease,C0007112,207.0,0.7,AKT1,Prostate adenocarcinoma,764,MedGen
1295,"[Neoplasms (C04), Urogenital Diseases (C12)]",Bladder transitional cell carcinoma,disease,C0279680,207.0,0.65,AKT1,Transitional cell carcinoma of the bladder,76013,MedGen
1299,"[Pathological Conditions, Signs and Symptoms (C23), Digestive System Diseases (C06)]",Hepatomegaly,phenotype,C0019209,207.0,0.65,AKT1,Hepatomegaly,42428,MedGen
1308,"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Neoplasms (C04), Digestive System Diseases (C06)]",Adenomatous Polyposis Coli,disease,C0032580,207.0,0.65,AKT1,Familial multiple polyposis syndrome,46010,MedGen
1317,"[Neoplasms (C04), Hemic and Lymphatic Diseases (C15), Immune System Diseases (C20)]","Lymphoma, T Cell",disease,C0079772,207.0,0.65,AKT1,T-cell lymphoma,86957,MedGen
1322,[Cardiovascular Diseases (C14)],Cardiomyopathy,disease,C0878544,207.0,0.65,AKT1,Cardiomyopathy,209232,MedGen
1330,[Mental Disorders (F03)],Affective Disorders,disease,C0525045,207.0,0.6000000000000001,AKT1,Mood disorder,99866,MedGen
1334,"[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",adenocarcinoma of breast (diagnosis),disease,C0858252,207.0,0.6000000000000001,AKT1,Breast adenocarcinoma,167809,MedGen
1353,"[Hemic and Lymphatic Diseases (C15), Neoplasms (C04)]",Acute promyelocytic leukemia,disease,C0023487,207.0,0.6000000000000001,AKT1,Acute promyelocytic leukemia,44127,MedGen
1357,[Neoplasms (C04)],"Cancer, Squamous Cell",disease,C0751688,207.0,0.6000000000000001,AKT1,Malignant squamous cell neoplasm,148367,MedGen
1361,[],CWS6,disease,C3554519,207.0,0.6,AKT1,Cowden syndrome 6,767433,MedGen
1365,"[Digestive System Diseases (C06), Chemically-Induced Disorders (C25)]","Fatty Liver, Alcoholic",disease,C0015696,207.0,0.55,AKT1,Alcoholic fatty liver disease,4666,MedGen
1368,"[Infections (C01), Respiratory Tract Diseases (C08)]","Tuberculosis, Pulmonary",disease,C0041327,207.0,0.55,AKT1,Pulmonary tuberculosis,11947,MedGen
1378,"[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",familial cancer of breast,disease,C0346153,207.0,0.5,AKT1,Familial cancer of breast,87542,MedGen
1384,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]","Atrophies, Muscular",phenotype,C0026846,207.0,0.5,AKT1,Muscle atrophy,7754,MedGen
1427,"[Neoplasms (C04), Digestive System Diseases (C06)]",Malignant neoplasm of large intestine,disease,C0346629,207.0,0.5,AKT1,Colorectal cancer,83428,MedGen
1428,[Mental Disorders (F03)],Bipolar Depression,disease,C0005587,207.0,0.45,AKT1,Bipolar depression,585,MedGen
1433,[Neoplasms (C04)],Intraductal papillary mucinous tumour with intermediate dysplasia,disease,C1266071,207.0,0.45,AKT1,Intraductal papillary-mucinous adenoma,690087,MedGen
1436,[Neoplasms (C04)],Breast cancer (ductal),disease,C1527349,207.0,0.45,AKT1,Breast ductal adenocarcinoma,315942,MedGen
1438,[Mental Disorders (F03)],Manic Disorders,disease,C0024713,207.0,0.45,AKT1,Manic bipolar affective disorder,7460,MedGen
1444,[Mental Disorders (F03)],"Mixed bipolar disorder, NOS",disease,C0236780,207.0,0.45,AKT1,Mixed bipolar I disorder,536627,MedGen
1446,"[Cardiovascular Diseases (C14), Pathological Conditions, Signs and Symptoms (C23)]",Cardiomegaly,phenotype,C0018800,207.0,0.45,AKT1,Cardiomegaly,5459,MedGen
1449,"[Neoplasms (C04), Endocrine System Diseases (C19), Digestive System Diseases (C06)]",Malignant neoplasm of head of pancreas,disease,C0153458,207.0,0.4,AKT1,Malignant Neoplasm of Head of Pancreas,509298,MedGen
1454,[Cardiovascular Diseases (C14)],"Disease, Primary Myocardial",disease,C0033141,207.0,0.4,AKT1,Idiopathic cardiomyopathy,18634,MedGen
1457,[],"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",disease,C0279763,207.0,0.4,AKT1,"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",76025,MedGen
1459,"[Neoplasms (C04), Endocrine System Diseases (C19), Digestive System Diseases (C06)]",Malignant neoplasm of body of pancreas,disease,C0153459,207.0,0.4,AKT1,Malignant Neoplasm of Body of Pancreas,509299,MedGen
1461,[],Meningothelial Cell Neoplasm,disease,C1334698,207.0,0.4,AKT1,Meningothelial Cell Neoplasm,235318,MedGen
1464,"[Nutritional and Metabolic Diseases (C18), Cardiovascular Diseases (C14)]",Aortic valve calcification,disease,C0428791,207.0,0.4,AKT1,Aortic valve calcification,140899,MedGen
1468,"[Neoplasms (C04), Endocrine System Diseases (C19), Digestive System Diseases (C06)]",Malignant neoplasm of tail of pancreas,disease,C0153460,207.0,0.4,AKT1,Malignant Neoplasm of Tail of Pancreas,509300,MedGen
1469,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]","Abuse, Cannabis",disease,C0006868,207.0,0.4,AKT1,Cannabis abuse,2807,MedGen
1473,"[Nervous System Diseases (C10), Neoplasms (C04)]",Meningeal Neoplasm,disease,C0025284,207.0,0.4,AKT1,Tumor of meninges,44353,MedGen
1479,"[Nervous System Diseases (C10), Mental Disorders (F03)]",Lewy Body Disease,disease,C0752347,6622.0,1.0,SNCA,Lewy body dementia,199874,MedGen
1487,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,6622.0,1.0,SNCA,Parkinson disease,10590,MedGen
1498,"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer Disease,disease,C0002395,6622.0,1.0,SNCA,Alzheimer disease,1853,MedGen
1505,[Nervous System Diseases (C10)],Parkinsonism,disease,C0242422,6622.0,1.0,SNCA,Parkinsonian disorder,66079,MedGen
1512,"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Synucleinopathy,disease,C5191670,6622.0,0.95,SNCA,Synucleinopathy,1682194,MedGen
1514,[Nervous System Diseases (C10)],"Degenerative disease of nervous system, unspecified",disease,C0524851,6622.0,0.95,SNCA,"Degenerative Disease of Nervous System, Unspecified",101195,MedGen
1515,[],PARK1,disease,C1868595,6622.0,0.8500000000000001,SNCA,Autosomal dominant Parkinson disease 1,357008,MedGen
1522,"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]",Gaucher Disease,disease,C0017205,6622.0,0.85,SNCA,Gaucher disease,42164,MedGen
1527,"[Pathological Conditions, Signs and Symptoms (C23)]",degenerative disorders,disease,C1285162,6622.0,0.75,SNCA,Degenerative disorder,224837,MedGen
1531,"[Mental Disorders (F03), Nervous System Diseases (C10)]",PARK4,disease,C1854182,6622.0,0.75,SNCA,Autosomal dominant Parkinson disease 4,381361,MedGen
1535,[Nervous System Diseases (C10)],Early onset Parkinson's disease,disease,C4275179,6622.0,0.75,SNCA,Young-onset Parkinson disease,907947,MedGen
1546,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Alcoholism,disease,C0001973,6622.0,0.75,SNCA,Alcohol dependence,1801,MedGen
1552,"[Pathological Conditions, Signs and Symptoms (C23)]","Losses, Weight",phenotype,C1262477,6622.0,0.7,SNCA,Weight loss,853198,MedGen
1553,[Nervous System Diseases (C10)],Symptomatic Parkinsonism,disease,C0030569,6622.0,0.65,SNCA,Secondary Parkinson disease,10592,MedGen
1562,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Abuse, Alcohol",disease,C0085762,6622.0,0.65,SNCA,Alcohol abuse,39339,MedGen
1564,"[Mental Disorders (F03), Cardiovascular Diseases (C14), Nervous System Diseases (C10)]","Dementia, Vascular",disease,C0011269,6622.0,0.65,SNCA,Vascular dementia,41447,MedGen
1568,"[Eye Diseases (C11), Nervous System Diseases (C10)]",PARK15,disease,C1850100,6622.0,0.6000000000000001,SNCA,Parkinsonian-pyramidal syndrome,337969,MedGen
1578,[Nervous System Diseases (C10)],Hereditary late onset Parkinson disease,disease,C4274355,6622.0,0.5,SNCA,Autosomal dominant late onset Parkinson disease,896543,MedGen
1582,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine Related Disorders,disease,C0236736,6622.0,0.45,SNCA,Cocaine-Related Disorders,66741,MedGen
1587,"[Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nutritional and Metabolic Diseases (C18), Digestive System Diseases (C06)]","Degeneration, Progressive Lenticular",disease,C0019202,6622.0,0.4,SNCA,Wilson disease,42426,MedGen
1595,[Cardiovascular Diseases (C14)],Heart failure,disease,C0018801,6622.0,0.4,SNCA,Heart failure,6749,MedGen
1596,[Cardiovascular Diseases (C14)],Congestive heart failure,disease,C0018802,6622.0,0.4,SNCA,Congestive heart failure,9169,MedGen
1601,"[Pathological Conditions, Signs and Symptoms (C23)]","Degeneration, Nerve",phenotype,C0027746,6622.0,0.4,SNCA,Neurodegeneration,17999,MedGen
1604,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Ataxia,phenotype,C0004134,6622.0,0.4,SNCA,Dyssynergia,13945,MedGen
1609,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,4929.0,1.0,NR4A2,Parkinson disease,10590,MedGen
1623,[Mental Disorders (F03)],Schizophrenias,disease,C0036341,4929.0,0.8,NR4A2,Schizophrenia,48574,MedGen
1624,[Mental Disorders (F03)],AUTISM SPECTRUM DISORDER,disease,C1510586,4929.0,0.7,NR4A2,Autism spectrum disorder,307153,MedGen
1630,[Nervous System Diseases (C10)],Epilepsies,disease,C0014544,4929.0,0.7,NR4A2,Epilepsy,4506,MedGen
1634,"[Digestive System Diseases (C06), Neoplasms (C04)]",Colorectal Neoplasm,disease,C0009404,4929.0,0.65,NR4A2,Neoplasm of the large intestine,3171,MedGen
1642,"[Skin and Connective Tissue Diseases (C17), Musculoskeletal Diseases (C05)]",Arthritic Psoriasis,disease,C0003872,4929.0,0.6000000000000001,NR4A2,Psoriatic arthritis,2077,MedGen
1645,[Mental Disorders (F03)],Bipolar Disorders,disease,C0005586,4929.0,0.6000000000000001,NR4A2,Bipolar affective disorder,2649,MedGen
1656,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Alcoholism,disease,C0001973,4929.0,0.6000000000000001,NR4A2,Alcohol dependence,1801,MedGen
1657,[Mental Disorders (F03)],Neurodevelopmental Disorder,disease,C1535926,4929.0,0.6000000000000001,NR4A2,Neurodevelopmental disorder,453059,MedGen
1661,[Mental Disorders (F03)],MAJOR DEPRESSIVE DISORDER,disease,C1269683,4929.0,0.6000000000000001,NR4A2,Major depressive disorder,266123,MedGen
1666,[Mental Disorders (F03)],"Depressions, Unipolar",disease,C0041696,4929.0,0.6000000000000001,NR4A2,Unipolar Depression,22552,MedGen
1670,[],IDLDP,disease,C5677001,4929.0,0.6,NR4A2,Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism,1805453,MedGen
1671,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine abuse,disease,C0009171,4929.0,0.5,NR4A2,Cocaine abuse,3136,MedGen
1675,"[Nervous System Diseases (C10), Mental Disorders (F03), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23)]",Global developmental delay,disease,C0557874,4929.0,0.45,NR4A2,Global developmental delay,107838,MedGen
1680,"[Pathological Conditions, Signs and Symptoms (C23), Behavior and Behavior Mechanisms (F01), Mental Disorders (F03), Nervous System Diseases (C10)]",Non-specific syndromic intellectual disability,disease,C5568766,4929.0,0.45,NR4A2,Complex neurodevelopmental disorder,1800189,MedGen
1682,"[Musculoskeletal Diseases (C05), Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17)]",Pauciarticular juvenile arthritis,disease,C0157917,4929.0,0.4,NR4A2,Oligoarticular Still Disease,510419,MedGen
1685,[Nervous System Diseases (C10)],PD,disease,C3160718,4929.0,0.4,NR4A2,"Parkinson disease, late-onset",463618,MedGen
1691,[Nervous System Diseases (C10)],DRD,disease,C1851920,4929.0,0.4,NR4A2,Dystonia 5,342121,MedGen
1699,[],Neurodevelopmental delay,phenotype,C4022738,4929.0,0.4,NR4A2,Neurodevelopmental delay,868344,MedGen
1701,"[Immune System Diseases (C20), Musculoskeletal Diseases (C05), Skin and Connective Tissue Diseases (C17)]",Juvenile Chronic Polyarthritis,disease,C0409667,4929.0,0.4,NR4A2,Juvenile chronic polyarthritis,140816,MedGen
1702,[Skin and Connective Tissue Diseases (C17)],Skin Disease,disease,C0037274,4929.0,0.4,NR4A2,Skin disorder,20777,MedGen
1706,"[Musculoskeletal Diseases (C05), Immune System Diseases (C20), Skin and Connective Tissue Diseases (C17)]",Acute polyarticular juvenile rheumatoid arthritis,disease,C0157916,4929.0,0.4,NR4A2,Acute polyarticular juvenile idiopathic arthritis,510418,MedGen
1709,"[Skin and Connective Tissue Diseases (C17), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Skin Diseases, Genetic",disease,C0037277,4929.0,0.4,NR4A2,Genodermatosis,20779,MedGen
1717,"[Pathological Conditions, Signs and Symptoms (C23)]",Deletion 2q24,phenotype,C2931816,4929.0,0.4,NR4A2,2q24 microdeletion syndrome,419168,MedGen
1719,[Mental Disorders (F03)],Child Development Disorder,disease,C0008073,4929.0,0.4,NR4A2,Developmental disorder,3367,MedGen
1723,[Nervous System Diseases (C10)],PARK7,disease,C1853445,11315.0,1.0,PARK7,Autosomal recessive early-onset Parkinson disease 7,344049,MedGen
1725,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,11315.0,1.0,PARK7,Parkinson disease,10590,MedGen
1733,[Nervous System Diseases (C10)],Parkinsonism,disease,C0242422,11315.0,0.95,PARK7,Parkinsonian disorder,66079,MedGen
1738,[Nervous System Diseases (C10)],Early onset Parkinson's disease,disease,C4275179,11315.0,0.8,PARK7,Young-onset Parkinson disease,907947,MedGen
1742,"[Cardiovascular Diseases (C14), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Cerebral Infarction,disease,C0007785,11315.0,0.7,PARK7,Cerebral infarction,3321,MedGen
1754,"[Digestive System Diseases (C06), Neoplasms (C04)]",Liver cell carcinoma,disease,C2239176,11315.0,0.6000000000000001,PARK7,Hepatocellular carcinoma,389187,MedGen
1760,[Nervous System Diseases (C10)],Motor Neuron Disease,disease,C0085084,11315.0,0.55,PARK7,Motor neuron disease,38785,MedGen
1764,[Nervous System Diseases (C10)],PARK6,disease,C1853833,11315.0,0.55,PARK7,Autosomal recessive early-onset Parkinson disease 6,342982,MedGen
1771,[Nervous System Diseases (C10)],PD,disease,C3160718,11315.0,0.5,PARK7,"Parkinson disease, late-onset",463618,MedGen
1777,"[Pathological Conditions, Signs and Symptoms (C23)]",Reticulocytosis,phenotype,C0206160,11315.0,0.4,PARK7,Reticulocytosis,60089,MedGen
1779,[Digestive System Diseases (C06)],"Enterocolitis, Necrotizing",disease,C0520459,11315.0,0.4,PARK7,Necrotizing enterocolitis,105440,MedGen
1786,"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14), Nervous System Diseases (C10)]",MCA INFARCT,disease,C0740392,11315.0,0.4,PARK7,Middle cerebral artery infarction,152845,MedGen
1792,"[Nutritional and Metabolic Diseases (C18), Musculoskeletal Diseases (C05)]",Osteoporoses,disease,C0029456,11315.0,0.4,PARK7,Osteoporosis,14535,MedGen
1798,"[Pathological Conditions, Signs and Symptoms (C23)]","Degeneration, Nerve",phenotype,C0027746,11315.0,0.4,PARK7,Neurodegeneration,17999,MedGen
1801,[Nervous System Diseases (C10)],JUVENILE PARKINSON DIS,disease,C0752105,11315.0,0.4,PARK7,Juvenile-onset Parkinson disease,155699,MedGen
1809,"[Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]",AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,disease,C0543859,11315.0,0.4,PARK7,Amyotrophic lateral sclerosis-parkinsonism-dementia complex,107775,MedGen
